Name,Intelligence,Strength,Speed,Durability,Power,Combat,Alignment,Gender
Beast Boy,80,30,50,70,80,40,good,Male
Beetle,70,60,65,65,75,65,bad,Male
Ben 10,90,100,100,100,100,75,good,Male
Beta Ray Bill,85,80,35,95,100,85,good,Male
Beyonder,100,100,100,100,100,85,good,Male
Bi-Beast,95,100,60,75,30,55,good,Male
Big Barda,95,100,80,100,100,100,bad,Female
Big Daddy,75,10,15,35,25,65,good,Male
Big Man,90,15,25,30,20,70,bad,Male
Bill Harken,85,40,35,60,30,40,good,Male
Binary,95,100,100,100,100,100,good,Female
Bionic Woman,80,40,35,40,20,40,good,Female
Bird-Brain,65,10,35,30,25,45,good,-
Birdman,90,55,70,70,70,70,good,Male
Bishop,85,15,25,75,100,65,good,Male
Bizarro,75,95,100,100,100,85,neutral,Male
Black Adam,95,100,95,100,100,60,bad,Male
Black Bolt,90,70,100,85,100,60,good,Male
Black Canary,85,10,35,15,45,80,good,Female
Black Canary,85,10,35,20,55,80,good,Female
Black Cat,90,20,35,10,25,70,good,Female
Black Flash,75,10,100,80,100,30,neutral,Male
Black Knight III,85,10,10,70,45,70,good,Male
Black Lightning,80,15,55,30,70,75,good,Male
Black Mamba,90,10,35,45,90,65,bad,Female
Black Manta,90,30,50,60,80,85,bad,Male
Black Panther,95,20,30,60,45,100,good,Male
Black Widow,90,15,35,30,40,100,good,Female
Black Widow II,90,60,80,75,70,95,good,Female
Blackout,85,35,45,80,45,65,bad,Male
Blackwing,75,10,35,35,20,60,bad,Male
Blackwulf,80,30,10,30,70,25,-,Male
Blade,85,30,40,50,40,90,good,Male
Bling!,85,15,15,90,55,30,good,Female
Blink,80,10,20,30,80,65,good,Female
Blizzard,75,75,60,70,85,65,bad,Male
Blizzard II,75,10,30,45,50,60,bad,Male
Blob,60,85,25,95,30,75,bad,Male
Bloodaxe,85,80,35,80,100,85,bad,Female
Bloodhawk,80,10,50,80,80,65,good,Male
Bloodwraith,65,75,65,70,70,90,bad,Male
Blue Beetle,85,80,80,85,90,85,good,Male
Blue Beetle II,85,45,55,65,60,80,good,Male
Blue Beetle III,80,35,60,80,100,30,good,Male
Boba Fett,85,10,40,40,70,70,bad,Male
Bomb Queen,90,90,80,95,100,90,bad,Female
Boom-Boom,75,10,15,45,60,65,good,Female
Booster Gold,85,85,45,70,100,40,good,Male
Box IV,80,75,25,30,15,60,good,-
Brainiac,100,95,65,90,60,75,bad,Male
Brainiac 5,100,10,25,30,60,35,good,Male
Brother Voodoo,90,60,50,70,95,60,good,Male
Brundlefly,85,35,25,40,35,15,neutral,Male
Buffy,85,30,45,70,50,60,good,Female
Bullseye,80,15,25,70,20,70,bad,Male
Bumblebee,85,30,25,10,50,35,good,Female
Bushido,75,10,10,10,20,70,good,Male
Cable,95,50,25,60,100,80,good,Male
Callisto,85,55,25,45,55,85,bad,Female
Cameron Hicks,80,10,25,30,55,70,good,Male
Cannonball,80,30,70,100,95,60,good,Male
Captain America,85,20,40,55,60,100,good,Male
Captain Atom,95,95,85,90,100,80,good,Male
Captain Britain,90,80,50,60,35,80,good,Male
Captain Cold,80,10,20,20,30,20,neutral,Male
Captain Epic,85,85,75,85,80,85,good,Male
Captain Hindsight,65,10,85,30,10,20,good,Male
Captain Marvel,95,90,75,95,100,90,good,Female
Captain Marvel II,90,85,30,90,35,60,good,Male
Captain Mar-vell,85,85,85,85,95,85,good,Male
Captain Planet,80,90,75,80,100,60,good,Male
Captain Universe,95,95,95,95,100,85,good,-
Carnage,85,65,70,85,90,90,bad,Male
Cat,90,85,80,90,85,80,good,Female
Catwoman,85,15,35,30,30,85,good,Female
Century,95,80,55,65,100,100,good,Male
Cerebra,85,70,70,80,80,90,good,Female
Chamber,80,10,20,80,60,65,good,Male
Chameleon,95,10,20,30,50,30,bad,Male
Changeling,85,10,25,45,65,65,bad,Male
Cheetah,75,10,45,20,35,70,bad,Female
Cheetah II,75,20,45,20,40,60,bad,Female
Cheetah III,95,100,90,80,80,95,bad,Female
Chewbacca,80,40,25,50,40,65,good,Male
Citizen Steel,80,95,35,100,25,60,good,Male
Claire Bennet,75,10,15,100,90,30,good,Female
Clea,70,40,45,40,75,35,good,-
Cloak,85,10,50,65,100,60,good,Male
Clock King,90,10,20,10,10,40,bad,Male
Cogliostro,70,65,60,80,80,60,bad,Male
Colossus,85,85,35,100,45,80,good,Male
Copycat,80,10,25,25,55,60,neutral,Female
Corsair,70,35,45,35,45,75,good,Male
Cottonmouth,80,10,10,10,30,25,bad,Male
Crimson Crusader,60,60,40,65,85,65,good,Male
Crimson Dynamo,85,70,60,75,80,65,good,Male
Crystal,85,20,15,15,65,60,good,Female
Cyborg,90,55,45,85,75,65,good,Male
Cyborg Superman,90,95,95,100,100,80,bad,Male
Cyclops,90,10,25,45,80,80,good,Male
Cy-Gor,60,100,75,90,85,70,bad,Male
Cypher,75,35,40,35,50,35,good,-
Dagger,85,10,35,45,55,70,good,Female
Daphne Powell,75,10,10,10,60,10,good,Female
Daredevil,90,15,35,35,65,100,good,Male
Darkhawk,80,35,35,70,75,65,good,Male
Darkman,95,15,25,60,20,30,good,Male
Darkseid,95,100,85,100,100,95,bad,Male
Darkstar,75,10,35,45,80,65,good,Female
Darth Maul,80,50,50,30,100,100,bad,Male
Darth Vader,85,50,35,35,100,100,bad,Male
Dash,65,15,95,60,20,30,good,Male
Data,100,35,25,40,60,50,good,Male
Dazzler,85,10,35,60,100,55,good,Female
Deadman,80,10,35,100,100,45,good,Male
Deadpool,85,35,50,100,100,100,neutral,Male
Deadshot,80,10,25,30,55,80,bad,Male
Deathlok,85,35,30,70,40,60,good,Male
Deathstroke,90,30,35,100,50,90,neutral,Male
Demogoblin,80,50,45,35,70,60,bad,Male
Destroyer,80,95,60,100,85,70,bad,Male
Diamondback,75,20,25,30,45,60,bad,Male
DL Hawkins,80,15,15,60,50,60,good,Male
Doc Samson,90,80,35,80,40,70,good,Male
Doctor Doom,100,35,20,100,100,85,bad,Male
Doctor Doom II,95,75,55,75,80,70,bad,Male
Doctor Fate,95,20,25,80,100,50,good,Male
Doctor Octopus,100,50,35,40,55,65,bad,Male
Doctor Strange,100,10,15,85,100,60,good,Male
Domino,85,10,30,30,50,75,good,Female
Donatello,95,15,50,60,60,75,good,Male
Donna Troy,90,90,85,90,85,95,good,Female
Doomsday,90,100,70,100,100,90,bad,Male
Doppelganger,50,65,60,95,70,85,bad,Male
Dormammu,95,95,85,100,100,80,bad,Male
Dr Manhattan,100,100,45,100,100,45,good,Male
Drax the Destroyer,80,80,25,85,50,65,good,Male
Ego,95,80,85,100,75,30,bad,-
Elastigirl,85,35,35,95,55,70,good,Female
Electro,85,10,50,60,70,65,bad,Male
Elektra,85,15,30,30,60,100,good,Female
Elle Bishop,80,10,15,45,65,45,bad,Female
Elongated Man,90,10,35,90,45,40,good,Male
Emma Frost,90,65,35,90,100,45,good,Female
Enchantress,85,15,25,60,100,40,good,Female
Energy,80,80,85,80,85,75,good,Female
Etrigan,80,85,20,100,100,50,neutral,Male
Evil Deadpool,85,35,50,100,100,100,bad,Male
Evilhawk,80,35,35,70,85,65,bad,Male
Exodus,85,85,30,30,100,70,bad,Male
Falcon,75,15,50,30,25,65,good,Male
Fallen One II,95,85,85,100,100,60,bad,Male
Faora,95,95,75,100,100,90,bad,Female
Feral,75,30,45,30,30,70,good,-
Fin Fang Foom,80,85,25,100,75,70,good,Male
Firebird,75,10,40,15,100,45,good,Female
Firelord,75,65,75,90,55,30,good,-
Firestar,80,10,55,55,75,35,good,Female
Firestorm,75,80,60,80,100,40,good,Male
Firestorm,80,55,60,60,100,45,good,Male
Fixer,90,70,70,75,70,65,bad,-
Flash,85,10,100,50,70,35,good,Male
Flash II,95,50,100,60,100,60,good,Male
Flash III,85,10,100,60,100,35,good,Male
Flash IV,85,10,100,35,100,50,good,Male
Forge,85,10,15,30,25,50,good,-
Franklin Richards,85,80,50,60,100,50,good,Male
Franklin Storm,75,10,5,5,0,10,good,-
Frenzy,85,55,35,100,40,55,bad,Female
Frigga,75,80,50,85,85,65,good,Female
Galactus,100,100,85,100,100,50,neutral,Male
Gambit,85,10,25,30,55,85,good,Male
Gamora,90,85,45,85,55,100,good,Female
Garbage Man,80,90,65,90,90,85,good,Male
Gary Bell,85,5,10,10,55,10,good,Male
General Zod,100,100,100,100,100,95,bad,Male
Genesis,80,75,75,70,80,65,good,Male
Ghost Rider,80,55,25,100,100,60,good,Male
Ghost Rider II,70,85,95,85,85,90,good,-
Giant-Man,95,85,40,65,55,45,good,Male
Giganta,95,90,25,85,35,45,bad,Female
Gladiator,80,100,100,100,80,70,neutral,Male
Goblin Queen,90,10,25,30,65,60,bad,Female
Godzilla,75,100,55,100,100,20,bad,-
Gog,80,35,50,75,40,60,bad,Male
Goku,80,100,75,90,100,100,good,Male
Gorilla Grodd,95,55,35,70,100,65,bad,Male
Granny Goodness,100,100,90,100,95,100,bad,Female
Gravity,80,35,35,40,70,30,good,Male
Greedo,75,10,15,15,35,40,bad,Male
Green Arrow,95,15,35,30,40,90,good,Male
Green Goblin,100,50,40,60,50,50,bad,Male
Green Goblin II,90,55,40,50,45,30,bad,Male
Green Goblin IV,90,90,85,80,65,75,good,Male
Green Lantern,75,90,55,65,100,65,good,Male
Green Lantern,80,85,45,65,100,65,good,Male
Green Lantern,80,90,45,55,100,60,good,Male
Green Lantern,80,90,50,50,100,55,good,Female
Green Lantern,85,90,75,80,100,70,good,Male
Green Lantern,85,80,25,90,100,35,good,Male
Green Lantern,85,90,50,60,100,60,good,Male
Groot,90,85,35,70,100,65,good,Male
Guardian,90,65,65,75,80,75,good,Male
Han Solo,80,10,20,20,45,60,good,Male
Hancock,85,90,70,100,100,50,good,Male
Harley Quinn,95,15,35,65,55,80,bad,Female
Harry Potter,90,10,25,10,100,50,good,Male
Havok,85,10,25,60,75,45,good,Male
Hawk,75,40,35,95,45,45,good,Male
Hawkeye,80,15,25,10,30,80,good,Male
Hawkeye II,80,10,10,10,25,50,good,Female
Hawkgirl,80,30,55,100,100,75,good,Female
Hawkman,90,40,60,75,85,80,good,Male
Hawkwoman,90,85,85,90,85,90,good,Female
Hawkwoman II,75,85,90,75,80,85,good,Female
Hawkwoman III,75,80,85,85,80,90,good,Female
Heat Wave,75,10,20,45,30,30,bad,Male
Hela,85,100,50,100,100,45,bad,Female
Hellboy,85,55,25,95,75,75,good,Male
Hellcat,85,15,35,45,50,70,good,Female
Hellstorm,80,65,60,75,90,65,good,Male
He-Man,90,100,75,90,75,85,good,Male
Hercules,85,100,50,85,90,100,good,Male
Hiro Nakamura,75,15,95,20,100,35,good,Male
Hit-Girl,80,10,30,20,30,65,good,Female
Hobgoblin,65,60,60,60,65,60,bad,Male
Hollow,85,80,80,80,80,80,good,Female
Hope Summers,85,10,15,35,95,75,good,Female
Howard the Duck,75,55,55,70,60,75,good,Male
Hulk,95,100,65,100,100,85,good,Male
Human Torch,85,15,65,70,90,45,good,Male
Huntress,85,10,25,30,35,95,good,Female
Husk,85,65,35,80,50,65,good,Female
Hybrid,85,65,60,75,100,80,good,Male
Hydro-Man,75,15,25,80,70,50,bad,Male
Hyperion,95,100,100,95,90,80,good,Male
Iceman,85,35,55,100,100,65,good,Male
Impulse,80,10,100,60,75,60,good,Male
Indiana Jones,85,10,20,30,20,30,good,Male
Indigo,90,65,50,50,100,50,neutral,Female
Ink,75,30,20,40,75,50,good,Male
Invisible Woman,95,10,30,85,95,60,good,Female
Iron Fist,90,55,35,50,95,100,good,Male
Iron Man,100,85,60,85,100,65,good,Male
Iron Monger,95,65,25,90,60,60,bad,Male
Isis,90,50,75,50,50,60,good,Female
Jack of Hearts,85,55,100,30,80,30,good,Male
Jack-Jack,35,35,70,80,100,10,good,Male
James Bond (Craig),95,15,20,35,25,90,good,Male
James T. Kirk,85,15,20,30,30,75,good,Male
Jar Jar Binks,60,10,35,10,25,15,good,Male
Jason Voorhees,85,35,25,100,100,50,bad,Male
Jean Grey,100,80,25,20,95,70,good,Female
Jean-Luc Picard,90,10,20,30,30,65,good,Male
Jennifer Kale,90,10,35,45,75,75,good,Female
Jesse Quick,90,60,100,70,90,85,good,Female
Jessica Jones,80,45,50,70,20,55,good,Female
Jigsaw,60,45,45,60,45,85,bad,Male
Jim Powell,75,40,25,80,25,20,good,Male
JJ Powell,95,10,10,10,15,10,good,Male
John Constantine,85,10,10,40,55,65,good,Male
John Wraith,90,15,35,30,90,80,good,Male
Joker,100,10,15,60,45,70,bad,Male
Jolt,85,15,30,35,35,45,good,Female
Jubilee,80,10,25,20,70,90,good,Female
Judge Dredd,90,20,40,50,55,95,good,Male
Juggernaut,75,100,45,100,85,70,neutral,Male
Junkpile,80,40,20,90,85,30,bad,Male
Justice,80,10,35,70,55,30,good,Male
Jyn Erso,70,40,50,50,55,85,good,Female
Kang,100,50,60,70,100,70,bad,Male
Karate Kid,85,65,70,20,50,100,good,Male
Kathryn Janeway,90,10,25,25,25,50,good,Female
Katniss Everdeen,80,10,25,25,25,55,good,Female
Kevin 11,65,10,15,15,100,40,good,Male
Kick-Ass,75,10,25,35,25,60,good,Male
Kid Flash,65,5,95,45,20,30,good,Male
Kid Flash II,70,45,100,65,80,65,good,Male
Killer Croc,65,55,35,90,55,60,bad,Male
Killer Frost,95,10,15,35,60,30,bad,Female
Kilowog,95,90,55,45,100,80,good,Male
King Kong,80,100,75,75,50,75,good,Male
King Shark,80,90,50,90,90,40,bad,Male
Kingpin,90,20,25,40,15,70,bad,Male
Klaw,85,40,35,100,65,60,bad,Male
Kratos,80,95,65,95,100,100,good,Male
Kraven II,80,35,25,30,45,85,bad,Male
Kraven the Hunter,85,35,35,45,25,85,bad,Male
Krypto,55,80,100,90,85,40,good,Male
Kylo Ren,80,45,35,30,100,70,bad,Male
Lady Bullseye,90,75,80,80,75,100,bad,Female
Lady Deathstrike,85,30,45,85,50,90,bad,Female
Leader,100,10,15,15,60,45,bad,Male
Leech,65,5,15,15,65,15,good,Male
Legion,80,100,45,30,100,75,good,Male
Leonardo,90,20,50,65,60,80,good,Male
Lex Luthor,100,55,25,65,70,70,bad,Male
Light Lass,75,10,35,30,70,45,good,Female
Lightning Lad,75,10,25,30,60,45,good,Male
Lightning Lord,75,10,25,45,70,45,bad,Male
Living Brain,90,55,35,60,35,30,bad,-
Living Tribunal,100,100,100,100,100,30,neutral,-
Liz Sherman,55,35,30,45,75,50,good,Female
Lizard,80,55,60,70,80,60,bad,Male
Lobo,100,100,55,100,100,85,neutral,Male
Loki,95,65,50,85,100,60,bad,Male
Longshot,80,10,30,10,75,70,good,Male
Lucifer Morningstar,100,100,85,100,100,95,neutral,Male
Luke Cage,80,65,30,95,45,70,good,Male
Luke Skywalker,85,40,45,25,100,100,good,Male
Luna,75,10,85,15,55,15,good,Female
Lyja,70,65,50,60,85,85,good,Female
Machine Man,85,35,35,85,55,65,good,-
Mach-IV,90,40,60,85,60,60,bad,Male
Magneto,95,80,30,85,95,80,bad,Male
Magog,80,50,25,65,70,75,good,Male
Magus,95,100,70,100,100,75,bad,Male
Man of Miracles,100,100,100,100,100,100,-,-
Man-Bat,75,20,50,70,35,30,neutral,Male
Mandarin,100,30,25,30,100,95,bad,Male
Man-Thing,80,35,10,100,100,40,good,Male
Mantis,85,10,35,80,100,80,good,Female
Man-Wolf,85,45,35,45,45,70,good,Male
Martian Manhunter,100,95,95,100,100,85,good,Male
Marvel Girl,85,85,50,45,100,80,good,Female
Master Chief,90,75,35,80,70,100,good,Male
Match,90,95,85,85,100,70,bad,Male
Matt Parkman,85,10,15,15,60,60,good,Male
Maverick,85,10,15,45,60,85,good,Male
Maxima,90,90,35,60,85,75,bad,Female
Maya Herrera,80,10,15,15,60,15,good,Female
Medusa,90,35,35,70,40,60,good,Female
Meltdown,75,10,15,45,65,65,good,Female
Mephisto,95,85,35,95,100,45,bad,Male
Mera,80,65,80,60,95,80,good,Female
Metallo,90,55,25,95,90,65,bad,Male
Metamorpho,70,85,70,95,95,80,good,Male
Metron,95,10,50,60,100,30,good,Male
Micah Sanders,85,10,15,15,60,15,good,Male
Michelangelo,85,15,50,65,60,75,good,Male
Micro Lad,75,30,30,30,45,35,good,Male
Mimic,85,70,50,60,80,45,good,Male
Misfit,85,35,25,80,95,45,good,Female
Miss Martian,85,85,60,100,100,45,good,Female
Mister Fantastic,100,10,20,70,35,65,good,Male
Mister Freeze,90,35,15,70,40,30,bad,Male
Mister Knife,90,10,20,30,15,65,bad,Male
Mister Mxyzptlk,100,85,100,100,100,50,bad,Male
Mister Sinister,100,50,50,90,100,50,bad,Male
Mister Zsasz,100,25,35,30,30,95,bad,Male
Mockingbird,90,35,40,20,50,95,good,Female
MODOK,100,20,25,25,80,15,bad,Male
Mogo,80,85,85,95,95,70,good,Male
Molecule Man,85,100,70,90,100,70,bad,Male
Moloch,75,40,35,40,70,45,bad,Male
Molten Man,80,75,25,85,55,60,bad,Male
Monarch,95,100,100,100,100,95,good,Male
Monica Dawson,80,10,35,15,50,90,good,Female
Moon Knight,80,40,25,45,30,75,good,Male
Moonstone,80,70,50,55,75,80,bad,Female
Morlun,85,60,35,45,75,60,bad,Male
Morph,65,50,40,65,70,50,good,Male
Moses Magnum,90,30,15,45,55,60,bad,Male
Mr Immortal,80,10,10,100,70,30,good,Male
Mr Incredible,80,85,35,95,30,40,good,Male
Ms Marvel II,75,65,25,85,15,60,good,Female
Multiple Man,85,15,25,70,30,65,good,Male
Mysterio,95,10,20,40,85,70,bad,Male
Mystique,90,15,25,65,65,75,bad,Female
Namor,85,95,60,70,75,85,good,Male
Namora,80,85,45,45,50,65,good,Female
Namorita,80,75,50,70,40,70,good,Female
Naruto Uzumaki,75,90,75,80,100,100,good,Male
Nebula,85,55,15,50,45,60,bad,Female
Negasonic Teenage Warhead,80,10,10,10,45,35,good,Female
Nick Fury,90,15,25,45,25,100,good,Male
Nightcrawler,80,10,50,15,80,80,good,Male
Nightwing,95,15,35,30,40,100,good,Male
Niki Sanders,85,55,35,30,40,60,good,Female
Nina Theroux,85,5,10,10,70,20,good,Female
Nite Owl II,85,45,40,40,50,80,good,Male
Northstar,80,20,85,60,65,70,good,Male
Nova,85,60,100,100,100,35,good,Female
Nova,100,85,75,100,100,80,good,Male
Odin,100,85,70,95,100,90,good,Male
Offspring,80,10,35,100,100,60,good,Male
Omega Red,70,70,50,85,70,90,bad,Male
One Punch Man,65,100,95,100,70,65,good,Male
One-Above-All,100,100,100,100,100,100,neutral,-
Onslaught,95,100,35,100,100,55,bad,Male
Oracle,90,15,25,30,20,80,good,Female
Osiris,90,85,60,95,65,45,good,Male
Ozymandias,100,20,35,20,50,95,bad,Male
Parademon,55,30,20,50,55,25,bad,-
Paul Blart,50,15,25,50,10,5,good,Male
Penance II,65,45,70,65,85,65,good,Male
Penguin,95,10,15,35,45,45,bad,Male
Peter Petrelli,70,60,100,100,100,95,good,Male
Phantom,70,35,35,35,30,80,good,Male
Phantom Girl,75,10,25,30,55,45,good,Female
Phantom Stranger,100,10,25,100,100,40,neutral,Male
Phoenix,100,100,85,100,100,80,good,Female
Plantman,85,60,25,55,65,25,bad,Male
Plastic Man,80,65,25,100,100,60,good,Male
Plastique,80,10,25,30,60,45,bad,Female
Poison Ivy,95,15,30,70,100,70,bad,Female
Polaris,85,75,45,50,100,45,good,Female
Power Girl,100,100,100,100,100,75,good,Female
Power Man,50,80,40,90,50,80,good,Male
Predator,85,30,25,85,100,90,bad,Male
Professor X,100,10,15,15,100,35,good,Male
Professor Zoom,100,10,100,20,85,20,bad,Male
Proto-Goblin,85,40,25,50,25,30,bad,Male
Psylocke,85,35,25,40,100,90,good,Female
Punisher,85,20,25,45,45,100,good,Male
Purple Man,80,10,10,30,95,10,bad,Male
Pyro,75,10,15,15,55,30,bad,Male
Q,100,15,20,100,100,40,-,Male
Quake,90,40,50,45,85,90,good,Female
Question,95,15,30,35,20,80,good,Male
Quicksilver,85,30,100,60,85,60,good,Male
Quill,75,10,15,15,25,15,good,Male
Rachel Pirzad,85,5,10,10,55,10,good,Female
Raphael,85,20,50,65,60,80,good,Male
Ra's Al Ghul,100,30,35,45,30,100,bad,Male
Raven,80,10,30,70,85,40,neutral,Female
Ray,80,10,95,100,100,20,good,Male
Razor-Fist II,70,85,80,80,85,100,bad,Male
Red Arrow,85,20,25,20,25,80,good,Male
Red Hood,90,15,25,30,35,95,neutral,Male
Red Hulk,80,100,50,85,85,75,neutral,Male
Red Mist,65,10,25,15,20,60,bad,Male
Red Robin,95,15,30,35,30,80,good,Male
Red Skull,90,10,15,15,20,80,bad,Male
Red Tornado,90,40,70,60,100,40,good,Male
Rey,85,10,25,10,90,35,good,Female
Rhino,65,80,45,90,40,85,bad,Male
Rick Flag,95,15,25,30,20,95,bad,Male
Riddler,100,10,15,15,10,15,bad,Male
Rip Hunter,100,10,10,10,100,25,good,Male
Robin,95,15,30,30,35,85,good,Male
Robin II,90,15,30,30,30,85,good,Male
Robin III,95,15,30,30,30,85,good,Male
Robin V,85,10,35,20,30,65,good,Male
Robin VI,80,10,25,20,20,70,neutral,Female
Robocop,90,35,15,80,55,50,good,Male
Rocket Raccoon,80,5,25,30,30,65,good,Male
Rogue,90,10,15,30,80,80,good,Female
Ronin,80,15,25,10,15,80,good,Male
Rorschach,90,10,30,20,25,80,good,Male
Sabretooth,80,50,40,90,50,100,bad,Male
Sage,90,10,15,15,30,60,good,Female
Sandman,80,75,50,95,100,60,neutral,Male
Sasquatch,90,80,25,60,15,45,good,Male
Saturn Girl,95,10,50,20,90,25,good,Female
Sauron,95,85,35,100,100,70,bad,Male
Savage Dragon,85,70,55,85,70,75,good,Male
Scarecrow,95,10,15,15,50,50,bad,Male
Scarlet Spider,90,55,60,75,50,60,good,Male
Scarlet Spider II,95,55,60,40,40,60,good,Male
Scarlet Witch,100,10,30,70,100,80,bad,Female
Scorpia,75,30,45,30,35,30,bad,Female
Scorpion,80,55,60,85,50,80,bad,Male
Sebastian Shaw,85,85,15,95,40,60,bad,Male
Sentry,90,100,100,100,100,45,good,Male
Shadow King,90,15,30,100,100,75,good,-
Shadow Lass,85,10,70,20,80,80,good,Female
Shadowcat,95,10,25,25,70,70,good,Female
Shang-Chi,85,15,30,50,30,100,good,Male
Shatterstar,85,50,45,65,50,85,good,Male
Shazam,95,100,90,95,100,75,good,Male
She-Hulk,95,100,45,100,40,70,good,Female
She-Ra,90,100,45,70,100,70,good,Female
She-Thing,85,75,25,80,25,65,good,Female
Shocker,85,10,25,70,80,60,bad,Male
Shriek,80,10,25,30,45,45,good,Female
Sif,85,90,70,80,100,70,good,Female
Silk,90,50,75,70,75,65,good,Female
Silk Spectre II,85,50,70,55,50,90,good,Female
Silver Surfer,80,100,100,90,100,35,good,Male
Silverclaw,80,30,35,45,35,45,good,Female
Sinestro,90,85,55,65,100,55,neutral,Male
Siren,80,65,80,60,95,60,bad,Female
Siryn,75,10,50,30,50,45,bad,Female
Skaar,80,85,30,90,70,85,good,Male
Snowbird,80,35,30,45,70,55,good,Female
Sobek,80,35,25,50,20,60,good,Male
Solomon Grundy,55,95,15,100,95,30,bad,Male
Songbird,90,40,30,45,55,60,good,Female
Space Ghost,75,20,35,40,95,80,good,Male
Spawn,90,75,50,100,100,100,good,Male
Spectre,95,100,100,100,100,70,good,Male
Speedy,80,10,35,20,30,70,good,Female
Spider-Carnage,65,75,70,75,70,75,bad,Male
Spider-Girl,85,40,60,65,55,75,good,Female
Spider-Gwen,90,55,65,70,70,70,good,Female
Spider-Man,65,65,70,65,70,70,good,Male
Spider-Man,85,65,75,70,70,75,good,-
Spider-Man,100,55,70,75,75,95,good,Male
Spider-Woman,80,45,45,60,70,70,good,Female
Spider-Woman III,80,50,30,45,60,30,good,Female
Spock,95,20,20,40,60,40,good,Male
Spyke,80,15,20,60,50,30,good,Male
Stardust,95,85,100,100,100,85,good,Male
Starfire,80,80,35,85,60,70,good,Female
Stargirl,85,80,50,90,90,70,good,Female
Star-Lord,85,20,35,50,25,70,good,Male
Static,85,10,45,50,90,40,good,Male
Steel,95,85,55,90,65,65,good,Male
Stephanie Powell,85,10,55,10,25,10,good,Female
Steppenwolf,100,100,85,100,100,100,bad,Male
Storm,90,10,50,30,90,75,good,Female
Stormtrooper,60,10,10,15,5,20,bad,Male
Sunspot,85,65,35,25,90,70,good,Male
Superboy,90,95,85,90,95,60,good,Male
Superboy-Prime,100,100,100,100,100,85,bad,Male
